	NUMBER	GLOSS	English	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY	Note	Huang_STEDT_English	English_by_concepticon	Huang_Chinese
0	Chen-2013-888-1	天	sky	1732.0	SKY	2.0		sky	sky	天
1	Chen-2013-888-2	太阳	sun	1343.0	SUN	2.0		sun	sun	太阳
2	Chen-2013-888-3	月亮	moon	1313.0	MOON	2.0		moon	moon	月亮
3	Chen-2013-888-4	星星	star	1430.0	STAR	2.0		star	star	星星
4	Chen-2013-888-5	云	cloud	1489.0	CLOUD	2.0		cloud	cloud	云
5	Chen-2013-888-6	虹	rainbow	1733.0	RAINBOW	2.0		rainbow	rainbow	虹
6	Chen-2013-888-7	雷	thunder	1150.0	THUNDER	2.0		thunder	thunder	雷
7	Chen-2013-888-8	闪		1654.0	LIGHTNING				lightning	闪电
8	Chen-2013-888-9	风	wind	960.0	WIND	2.0		wind	wind (thread onto a	缠(~线)
9	Chen-2013-888-10	雨	rain	658.0	RAIN (PRECIPITATION)	2.0		rain	rain	雨
10	Chen-2013-888-11	雪	snow	784.0	SNOW	2.0		snow	snow	雪
11	Chen-2013-888-12	露水	dew	1977.0	DEW	2.0		dew	dew	露水
12	Chen-2013-888-13	霜	frost	2034.0	FROST	2.0		frost	frost	霜
13	Chen-2013-888-14	火	fire	221.0	FIRE	2.0		fire	fire	火
14	Chen-2013-888-15	灰		646.0	ASH	2.0			plant ash	草木灰
15	Chen-2013-888-16	烟		778.0	SMOKE (EXHAUST)	2.0			smoke / fumigate	熏
16	Chen-2013-888-17	扬尘								
17	Chen-2013-888-18	地	earth / ground	2159.0	GROUND	2.0		earth / ground	earth / ground	地
18	Chen-2013-888-19	山	hill / mountain	639.0	MOUNTAIN	2.0		hill / mountain	hill / mountain	山
19	Chen-2013-888-20	洞	cave / hole	1667.0	HOLE	2.0	洞 is hole, 山洞 is cave, this gloss is written on the page along with  山 and 河, I assume it means cave, but since the gloss is only 洞, I translate it as hole 	cave / hole	cave / hole	洞
20	Chen-2013-888-21	河		666.0	RIVER	2.0			river (big) (note:+big)	河 (大~)
21	Chen-2013-888-22	池塘	pond	2035.0	POND	2.0		pond	pond	池塘
22	Chen-2013-888-23	沟	ditch / gully	2002.0	DITCH	4.0		ditch / gully	ditch / gully	沟
23	Chen-2013-888-24	井	well	954.0	WELL	2.0		well	well	井
24	Chen-2013-888-25	路	road	667.0	ROAD	2.0		road	road	路
25	Chen-2013-888-26	水田	paddy field	140.0	PADDY FIELD	2.0		paddy fields||paddy field		
26	Chen-2013-888-27	旱地		212.0	FIELD	2.0			fields (wheat etc., slashed) (note:+plowed)	地(田~) (刀耕~)
27	Chen-2013-888-28	石头	stone	857.0	STONE	2.0		stone	classifier for rocks, stones	块(一~石头)
28	Chen-2013-888-29	沙子	sand	671.0	SAND	2.0		sand	sand	沙子
29	Chen-2013-888-30	泥巴	mud	640.0	MUD			mud	mud	泥巴
30	Chen-2013-888-31	水	water	948.0	WATER	2.0		water (in a river, well)||water (in a vessel)||water	water (boiled)	开水
31	Chen-2013-888-32	铁	iron	621.0	IRON	2.0		iron	iron	铁
32	Chen-2013-888-33	煤	coal	2658.0	COAL	2.0		coal	coal	煤
33	Chen-2013-888-34	村寨		930.0	VILLAGE	2.0			village	村子
34	Chen-2013-888-35	集市		633.0	MARKET	2.0				
35	Chen-2013-888-36	桥		1011.0	BRIDGE	2.0			bridge (vine)	桥 ((*的)~)
36	Chen-2013-888-37	坟墓		1773.0	GRAVE	2.0			tomb	坟
37	Chen-2013-888-38	菜园		586.0	GARDEN	2.0			garden (plot)	园子
38	Chen-2013-888-39	篱笆	fence (bamboo / twig)	1690.0	FENCE			fence (bamboo / twig)	fence (bamboo / twig)	篱笆
39	Chen-2013-888-40	人	human being	683.0	PERSON	2.0		human being	human being	人
40	Chen-2013-888-41	汉族					add HAN			
41	Chen-2013-888-42	族称								
